,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 15:06:35 +0000 2020', 'id': 1237032039754297344,"['text', 'rt', 'landaows', 'damn', 'want', 'stay', 'angry', 'someone', 'see', 'himher', 'hard', 'time', 'im']"
1, _json={'created_at': 'Mon Mar 09 15:06:35 +0000 2020', 'id': 1237032038903021569,"['text', 'rt', 'preetbharara', 'angry', 'worried', 'right', 'ten', 'million', 'american', 'know', 'happen', 'next']"
2, _json={'created_at': 'Mon Mar 09 15:06:34 +0000 2020', 'id': 1237032035991973888,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
3, _json={'created_at': 'Mon Mar 09 15:06:33 +0000 2020', 'id': 1237032030820372481,"['text', 'rt', 'jao20294848', 'ryanbeckwith', 'lebassett', 'gonna', 'wait', 'another', 'democratic', 'president', 'another', '8', 'year', 'recover']"
4, _json={'created_at': 'Mon Mar 09 15:06:32 +0000 2020', 'id': 1237032025137262592,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
5, _json={'created_at': 'Mon Mar 09 15:06:31 +0000 2020', 'id': 1237032022771732480,"['text', 'rt', 'karterforreal', 'toxic', 'cute', 'trend', 'jhené', 'spent', 'hour', 'studying', 'sound', 'healing', 'specifically', 'supporter']"
6, _json={'created_at': 'Mon Mar 09 15:06:31 +0000 2020', 'id': 1237032020837974016,"['text', 'brdautremont', 'globalnews', 'dont', 'get', 'angry', 'social', 'medium', 'stranger']"
7, _json={'created_at': 'Mon Mar 09 15:06:30 +0000 2020', 'id': 1237032018128461831,"['text', 'rt', 'mufaa6', 'everyone', 'angry', 'shit', 'lately', 'goin', 'httpstconrujws8ejh']"
8, _json={'created_at': 'Mon Mar 09 15:06:30 +0000 2020', 'id': 1237032015435665409,"['text', 'rt', 'saketgokhale', 'incredibly', 'd0uchey', 'video', 'nnfirst']"
9, _json={'created_at': 'Mon Mar 09 15:06:28 +0000 2020', 'id': 1237032010205593601,"['text', 'rt', 'itsjacksonke', 'kenyan', 'angry', 'bbinkenyans', 'angry', 'uhurunkenyans', 'angry', 'railankenyans', 'angry', 'rutonkenyans']"
10, _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032006510432257,"['text', 'smile', 'joke', 'photo', 'videonncomments', 'section', 'pain', 'look', 'angry', 'depressed', 'need', 'cheer']"
11, _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032006015488004,"['text', 'also', 'told', 'said', 'pissed', 'angry', 'wouldnt', 'sex', 'said', 'felt', 'b', 'httpstcocuft0ia9hf']"
12, _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032005432250368,"['text', 'angry', 'reax', 'angry']"
13, _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032005176623106,"['text', 'angry', 'uber', 'driver', 'scare']"
14, _json={'created_at': 'Mon Mar 09 15:06:26 +0000 2020', 'id': 1237031998671278085,"['text', 'among', 'great', 'max', 'von', 'sydow', 'film', 'moment', 'angry', 'eating', 'sandwich', 'hannah', 'ampher', 'sister', 'great', 'httpstco7fead0j90s']"
15, _json={'created_at': 'Mon Mar 09 15:06:26 +0000 2020', 'id': 1237031998478319618,"['text', 'rt', 'anoopkgkg1515', 'swamy39', 'krishnabond81', 'general', 'public', 'used', 'support', 'bjp', 'walking', 'away', 'r', 'fed', 'economy']"
16, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031998167736320,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
17, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031998075686913,"['text', 'worthlessalexg', 'cuckertt', 'rtsubbitch', 'rtsubbby', 'rtfindom', 'rtbaby77', 'tonybobo3', 'yes', 'thats', 'anyway', 'sic', 'httpstcors3pg04zp9']"
18, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031997178089472,"['text', 'rt', 'afcema', 'everybody', 'talking', 'covid19', 'social', 'medium', 'news', 'may', 'feel', 'anxious']"
19, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031996745863170,"['text', 'rt', 'wrongtxtquote', 'taehyun', 'know', 'always', 'see', 'eye', 'eye', 'nnhuening', 'kai', 'shortnntaehyun', 'smol', 'angry', 'n']"
20, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031996070780933,"['text', 'love', 'thing', 'combine', 'new', 'unexpected', 'combination', 'make', 'life', 'interestingnnwho', 'knew', 'angry', 'de', 'httpstcoz1ol2j3pwj']"
21, _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031994527277058,"['text', 'rt', 'mufaa6', 'everyone', 'angry', 'shit', 'lately', 'goin', 'httpstconrujws8ejh']"
22, _json={'created_at': 'Mon Mar 09 15:06:24 +0000 2020', 'id': 1237031991851139075,"['text', 'rt', 'harddrivemag', 'angry', 'dampd', 'player', 'throw', 'handful', 'dice', 'dm', '8d6', 'bludgeoning', 'damagennhttpstconpsekkadfc']"
23, _json={'created_at': 'Mon Mar 09 15:06:23 +0000 2020', 'id': 1237031988135178240,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
24, _json={'created_at': 'Mon Mar 09 15:06:22 +0000 2020', 'id': 1237031984813101056,"['text', 'rt', 'awilkinson', 'find', 'odd', 'people', 'getting', 'angry', 'tech', 'ppl', 'spreading', 'word', 'coronavirus', 'even', 'relaying', 'expert']"
25, _json={'created_at': 'Mon Mar 09 15:06:22 +0000 2020', 'id': 1237031983416369154,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
26, _json={'created_at': 'Mon Mar 09 15:06:22 +0000 2020', 'id': 1237031983076827136,"['text', 'rt', 'marieosbon', 'dating', 'n', 'sleep', 'angry', 'n', 'please', 'communicate', 'feeling', 'daily', 'clearly', 'trust', 'never', 'af']"
27, _json={'created_at': 'Mon Mar 09 15:06:21 +0000 2020', 'id': 1237031980753190913,"['text', 'rt', 'javiersoso', 'feb', 'beat', 'middleaged', 'man', 'way', 'touched', 'niece', 'also', 'said', 'body', 'upakile', 'shes', '11']"
28, _json={'created_at': 'Mon Mar 09 15:06:21 +0000 2020', 'id': 1237031980660916224,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
29, _json={'created_at': 'Mon Mar 09 15:06:21 +0000 2020', 'id': 1237031980564393990,"['text', 'rt', 'marieosbon', 'dating', 'n', 'sleep', 'angry', 'n', 'please', 'communicate', 'feeling', 'daily', 'clearly', 'trust', 'never', 'af']"
30, _json={'created_at': 'Mon Mar 09 15:06:21 +0000 2020', 'id': 1237031979918299142,"['text', 'fucking', 'hard', 'work', 'put', 'reyes', 'wasted', 'im', 'fucking', 'angry']"
31, _json={'created_at': 'Mon Mar 09 15:06:21 +0000 2020', 'id': 1237031977523597312,"['text', 'rt', 'demolarewaju', 'sanusi', 'stopped', 'lobbying', 'save', 'point', 'endgame', 'still', 'come', 'silenced', 'temporar']"
32, _json={'created_at': 'Mon Mar 09 15:06:20 +0000 2020', 'id': 1237031976256901120,"['text', 'midwincharles', 'saw', 'guy', 'joy', 'show', 'week', 'ago']"
33, _json={'created_at': 'Mon Mar 09 15:06:20 +0000 2020', 'id': 1237031975459926017,"['text', 'angry', 'bird', 'warning', 'eats', 'baby', 'range', 'httpstcoi5geu4cozg']"
34, _json={'created_at': 'Mon Mar 09 15:06:19 +0000 2020', 'id': 1237031972393734145,"['text', 'rt', 'marieosbon', 'dating', 'n', 'sleep', 'angry', 'n', 'please', 'communicate', 'feeling', 'daily', 'clearly', 'trust', 'never', 'af']"
35, _json={'created_at': 'Mon Mar 09 15:06:19 +0000 2020', 'id': 1237031970665902085,"['text', 'rt', 'dniigro1', 'elrufai', 'cnn', 'past', '45mins']"
36, _json={'created_at': 'Mon Mar 09 15:06:15 +0000 2020', 'id': 1237031955809611776,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
37, _json={'created_at': 'Mon Mar 09 15:06:15 +0000 2020', 'id': 1237031954656178177,"['text', 'rt', 'ryanmichler', 'son', 'cried', '3rd', 'place', 'wrestling', 'finish', 'today', 'asked', 'whynn', 'angry', 'win', 'nn', 'good']"
38, _json={'created_at': 'Mon Mar 09 15:06:15 +0000 2020', 'id': 1237031953502781441,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
39, _json={'created_at': 'Mon Mar 09 15:06:14 +0000 2020', 'id': 1237031952143785987,"['text', 'rt', 'penabdull', 'dars', 'usool', 'aththalatha', 'continues', 'today', 'shaa', 'allaah', 'angryustaaz', 'abbag', 'binadam', 'akonee', 'manalone', 'imedi']"
40, _json={'created_at': 'Mon Mar 09 15:06:14 +0000 2020', 'id': 1237031950692438017,"['text', 'rt', 'monbebegermany', 'angry', 'read']"
41, _json={'created_at': 'Mon Mar 09 15:06:13 +0000 2020', 'id': 1237031947056054272,"['text', 'gretathunberg', 'sad', 'age', 'angry', 'time']"
42, _json={'created_at': 'Mon Mar 09 15:06:13 +0000 2020', 'id': 1237031944870715393,"['text', 'rt', 'realdonaldtrump', 'elizabeth', 'pocahontas', 'warren', 'singlehandedly', 'destroyed', 'bernie', 'sander', 'campaign', 'stripping', 'voter', 'away', 'c']"
43, _json={'created_at': 'Mon Mar 09 15:06:13 +0000 2020', 'id': 1237031944598065152,"['text', 'victoria', 'mathers', 'comment', 'dont', 'believe', 'brit', 'think', 'even', 'angry', 'meghan', 'httpstcorqnw6tmfgm']"
44, _json={'created_at': 'Mon Mar 09 15:06:12 +0000 2020', 'id': 1237031943109324801,"['text', 'rt', 'shoe0nhead', 'still', 'cannot', 'believe', 'one', 'angry', 'gamer', 'isnt', 'satire', 'httpstcoowrsvbvf93']"
45, _json={'created_at': 'Mon Mar 09 15:06:12 +0000 2020', 'id': 1237031941494325248,"['text', 'boykaalive', 'drshamamohd', 'school', 'college', 'student', 'angry', 'bos', 'waiting', 'cut', 'salary', 'httpstco8eyfpf4ffq']"
46, _json={'created_at': 'Mon Mar 09 15:06:12 +0000 2020', 'id': 1237031941330718720,"['text', 'angry', 'sumtimes', '90', 'time', 'httpstcokwkebxgaeb']"
47, _json={'created_at': 'Mon Mar 09 15:06:12 +0000 2020', 'id': 1237031941259448321,"['text', 'rt', 'atensnut', 'angry', 'black', 'woman', 'nothing', 'hate', 'heartbut', 'least', 'longer', 'debate', 'question', 'sell', 'th']"
48, _json={'created_at': 'Mon Mar 09 15:06:12 +0000 2020', 'id': 1237031940231839744,"['text', 'rt', 'lovingennoshita', 'suna', 'calling', 'osamu', 'miya', 'angry']"
49, _json={'created_at': 'Mon Mar 09 15:06:11 +0000 2020', 'id': 1237031938172628992,"['text', 'rt', 'mufaa6', 'everyone', 'angry', 'shit', 'lately', 'goin', 'httpstconrujws8ejh']"
50, _json={'created_at': 'Mon Mar 09 13:57:51 +0000 2020', 'id': 1237014742650281987,"['text', 'nakrissimo', 'love', 'angry', 'user', 'best', 'source', 'feedback']"
51, _json={'created_at': 'Mon Mar 09 13:23:56 +0000 2020', 'id': 1237006204376768512,"['text', 'try', 'keep', 'itpleasant', 'twitter', 'thingswill', 'still', 'anger', 'haiku', 'haikuchallenge', 'micropoetry', 'poetry', 'httpstco39sga9ntlt']"
52, _json={'created_at': 'Mon Mar 09 13:12:47 +0000 2020', 'id': 1237003397699682305,"['text', 'true', 'flownhow', 'flowing', 'nyour', 'energy', 'blocked', 'feel', 'depressed', 'angry', 'stuck']"
