,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 15:21:14 +0000 2020', 'id': 1237035726115651588,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
1, _json={'created_at': 'Mon Mar 09 15:21:14 +0000 2020', 'id': 1237035724106395650,"['text', 'rt', 'lmm815', 'excited', 'share', 'item', 'etsy', 'shop', 'infinity', 'svg', 'cricut', 'cut', 'file', 'svg', 'shirt', 'svg', 'svg', 'cricut', 'httpstco2kvz9q5']"
2, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722835722241,"['text', 'liluzivert', 'thugger', 'feature', 'song', 'proud', 'u', 'isnt', 'song', 'im', 'still', 'excited', 'n', 'httpstcoikoqmklduj']"
3, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722193784834,"['text', 'rt', 'sb19official', 'sb19joshnhello', 'everyone', 'excited', 'na', 'ba', 'kayo', 'sa', 'fanmeet', 'march', '28', 'pero', 'safety', 'first', 'po', 'muna', 'tayo', 'ha', 'always', 'wear', 'yo']"
4, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722084954112,"['text', 'excited', 'meet', 'future', 'prof', 'tonight', 'accepted', 'student', 'reception', 'rowan2024', 'httpstcofidrto33sx']"
5, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035721652920322,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
6, _json={'created_at': 'Mon Mar 09 15:21:12 +0000 2020', 'id': 1237035717626343425,"['text', 'megiddings', 'phone', 'problem', 'read', 'rumpus', 'interview', 'tho', 'v', 'excited', 'book']"
7, _json={'created_at': 'Mon Mar 09 15:21:11 +0000 2020', 'id': 1237035712186322944,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
8, _json={'created_at': 'Mon Mar 09 15:21:11 +0000 2020', 'id': 1237035712106684416,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
9, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709619408896,"['text', '2020', 'roller', 'coaster', 'already']"
10, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709262774273,"['text', 'rt', 'sb19invasion', 'invader']"
11, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709153923072,"['text', 'jisung', 'discharge', 'december', 'excited']"
12, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035706893004801,"['text', 'rt', 'everythingloria', 'know', 'excited', 'onedayatatime', 'httpstcopeaixonzcc']"
13, _json={'created_at': 'Mon Mar 09 15:21:09 +0000 2020', 'id': 1237035704821170178,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
14, _json={'created_at': 'Mon Mar 09 15:21:09 +0000 2020', 'id': 1237035704468848640,"['text', 'rt', 'meimeiferu', 'bassbassriley', 'socalmd54', 'missdonnameagle', 'holy', 'crap', 'think', 'warrensupporters', 'started', 'race', 'optimistic']"
15, _json={'created_at': 'Mon Mar 09 15:21:09 +0000 2020', 'id': 1237035704393314304,"['text', 'rt', 'sajpakpassion', 'dale', 'steyn', 'really', 'enjoyed', 'back', 'people', 'welcoming']"
16, _json={'created_at': 'Mon Mar 09 15:21:09 +0000 2020', 'id': 1237035703885647874,"['text', 'rt', 'sceneryfortae', 'taehyungs', 'ost', 'itaewon', 'class', 'sweet', 'night', 'released', '13th', 'march', '6pm', 'kst', 'said', 'song', 'produc']"
17, _json={'created_at': 'Mon Mar 09 15:21:09 +0000 2020', 'id': 1237035703684521987,"['text', 'ddeiaze', 'iamjonjon07', 'know', 'watch', 'regular', '911', 'come', 'back', 'one', 'today', 'excited', 'hell']"
18, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035701549461506,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
19, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035701314768898,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
20, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035700090023936,"['text', 'rt', 'lisaanntorrance', 'fraser', 'asked', 'send', 'picture', 'passport', 'got', 'excited', 'thinking', 'booking', 'holiday', '2', 'mi']"
21, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035699980861440,"['text', 'rt', 'emmagray77', 'watched', 'httpstcokg2hhbl4r0', 'excited', 'year', 'nello', 'ride', 'aid', 'ama', 'httpstco3uwm4pmc21']"
22, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035699687305216,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
23, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035698890383361,"['text', 'latelateshow', 'niallofficial', 'yes', 'im', 'excited']"
24, _json={'created_at': 'Mon Mar 09 15:21:08 +0000 2020', 'id': 1237035698005381120,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
25, _json={'created_at': 'Mon Mar 09 15:21:07 +0000 2020', 'id': 1237035695107014658,"['text', 'one', 'isnt', 'excited', 'holi', 'nhappyholi']"
26, _json={'created_at': 'Mon Mar 09 15:21:07 +0000 2020', 'id': 1237035694616428544,"['text', 'feyzpalm', 'god', 'know', 'happen']"
27, _json={'created_at': 'Mon Mar 09 15:21:07 +0000 2020', 'id': 1237035694406729729,"['text', 'rt', 'graphicvillage', 'excited', 'welcome', 'rhinegeist', 'creative', 'director']"
28, _json={'created_at': 'Mon Mar 09 15:21:06 +0000 2020', 'id': 1237035693072764929,"['text', 'rt', 'mahirasharma', 'song', 'baarish', 'voice', 'sonukakkar', 'nikhilmusic', 'coming', 'tommorow', 'nnmusic', 'lyric', 'tony']"
29, _json={'created_at': 'Mon Mar 09 15:21:06 +0000 2020', 'id': 1237035691290263557,"['text', 'rt', 'spiderauthor', 'finished', 'program', 'writer', 'conference', 'speaking', 'april', 'nashville']"
30, _json={'created_at': 'Mon Mar 09 15:21:06 +0000 2020', 'id': 1237035691114143745,"['text', 'rt', 'allthingsthethe', 'get', 'excited', 'trouser', 'onnhttpstcoixgbwqzw53']"
31, _json={'created_at': 'Mon Mar 09 15:21:06 +0000 2020', 'id': 1237035690958954497,"['text', 'rt', 'imartinezp', 'today', 'march', '9', 'nget', 'ready', 'new', 'information', 'working', 'nnmy', 'brother', 'big', 'dream']"
32, _json={'created_at': 'Mon Mar 09 15:21:06 +0000 2020', 'id': 1237035689679532033,"['text', 'rt', 'aryaoffl', 'really', 'excited', 'one', 'wait', 'show', 'teaser', 'teddyteaser', 'tomorrow', '11am', 'brother', 'shaktiraja']"
33, _json={'created_at': 'Mon Mar 09 15:21:14 +0000 2020', 'id': 1237035724106395650,"['text', 'rt', 'lmm815', 'excited', 'share', 'item', 'etsy', 'shop', 'infinity', 'svg', 'cricut', 'cut', 'file', 'svg', 'shirt', 'svg', 'svg', 'cricut', 'httpstco2kvz9q5']"
34, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722835722241,"['text', 'liluzivert', 'thugger', 'feature', 'song', 'proud', 'u', 'isnt', 'song', 'im', 'still', 'excited', 'n', 'httpstcoikoqmklduj']"
35, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722193784834,"['text', 'rt', 'sb19official', 'sb19joshnhello', 'everyone', 'excited', 'na', 'ba', 'kayo', 'sa', 'fanmeet', 'march', '28', 'pero', 'safety', 'first', 'po', 'muna', 'tayo', 'ha', 'always', 'wear', 'yo']"
36, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035722084954112,"['text', 'excited', 'meet', 'future', 'prof', 'tonight', 'accepted', 'student', 'reception', 'rowan2024', 'httpstcofidrto33sx']"
37, _json={'created_at': 'Mon Mar 09 15:21:13 +0000 2020', 'id': 1237035721652920322,"['text', 'rt', 'louistomlinson', 'well', 'excited', 'show', 'lot', 'tell', 'favourite', 'memory', 'help', 'build', 'wall', 'httpstco99f2ayohdp', 'ht']"
38, _json={'created_at': 'Mon Mar 09 15:21:12 +0000 2020', 'id': 1237035717626343425,"['text', 'megiddings', 'phone', 'problem', 'read', 'rumpus', 'interview', 'tho', 'v', 'excited', 'book']"
39, _json={'created_at': 'Mon Mar 09 15:21:11 +0000 2020', 'id': 1237035712186322944,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
40, _json={'created_at': 'Mon Mar 09 15:21:11 +0000 2020', 'id': 1237035712106684416,"['text', 'rt', 'louistomlinson', 'fucking', 'excited', 'tonight']"
41, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709619408896,"['text', '2020', 'roller', 'coaster', 'already']"
42, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709262774273,"['text', 'rt', 'sb19invasion', 'invader']"
43, _json={'created_at': 'Mon Mar 09 15:21:10 +0000 2020', 'id': 1237035709153923072,"['text', 'jisung', 'discharge', 'december', 'excited']"
