,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 15:28:00 +0000 2020', 'id': 1237037426884870145,"['One', 'of', 'the', 'ways', 'we', 'can', 'understand', 'ourselves', 'better', 'be', 'to', 'understand', 'our', 'emotional', 'motivations', 'They', 'say', 'that', 'over', '9']"
1, _json={'created_at': 'Mon Mar 09 15:25:19 +0000 2020', 'id': 1237036753959170049,"['text', 'RT', 'Sometimes', 'it', 's', 'hard', 'not', 'to', 'get', 'stress']"
2, _json={'created_at': 'Mon Mar 09 15:25:06 +0000 2020', 'id': 1237036699785494532,['White']
3, _json={'created_at': 'Mon Mar 09 15:25:06 +0000 2020', 'id': 1237036696161533952,"['text', 'RT', 'Is', 'this', 'you', 'nIt', 's', 'time', 'to', 'choose', 'FAITH', 'over', 'FEAR', 'and', 'create', 'a', 'life', 'last', 'change', 'nCLICK', 'the', 'link', 'below', 'to', 'start', 'my', 'FREE']"
4, _json={'created_at': 'Mon Mar 09 15:25:00 +0000 2020', 'id': 1237036673084674048,"['text', 'RT', 'Don', 't', 'let', 'fear', 'hold', 'you', 'back', 'Accept', 'that', 'fear', 'be', 'a', 'bunch', 'of', 'symptoms']"
5, _json={'created_at': 'Mon Mar 09 15:24:37 +0000 2020', 'id': 1237036576821002241,"['text', 'RT', 'Am', 'I', 'FEAR', 'MONGERING', 'As', 'The', 'Market', 'Collapses', 'BermasBrigade', 'Market', 'Fear']"
6, _json={'created_at': 'Mon Mar 09 15:24:36 +0000 2020', 'id': 1237036573352476675,"['text', 'RT', 'Seeing', 'no', 'one', 'will', 'say', 'it', 'n', 'nI', 'will', 'n', 'nThe', 'coronavirus', 'be', 'a', 'man', 'make', 'fear', 'pandemic', 'spread', 'on', 'purpose', 'by', 'the', 'FakeNewsMedia']"
7, _json={'created_at': 'Mon Mar 09 15:23:54 +0000 2020', 'id': 1237036396944273411,"['text', 'RT', 'God', 's', 'plan', 'for', 'you', 'do', 'not', 'include', 'fear']"
8, _json={'created_at': 'Mon Mar 09 15:23:13 +0000 2020', 'id': 1237036222608007169,"['Fear', 'be', 'a', 'state', 'of', 'wrong', 'perception']"
9, _json={'created_at': 'Mon Mar 09 15:22:43 +0000 2020', 'id': 1237036100109074437,"['text', 'RT', 'Am', 'I', 'FEAR', 'MONGERING', 'As', 'The', 'Market', 'Collapses', 'BermasBrigade', 'Market', 'Fear']"
10, _json={'created_at': 'Mon Mar 09 15:22:33 +0000 2020', 'id': 1237036057427947520,"['text', 'RT', 'StephaniePMcKea', 'Not', 'Worried', 'via', 'coronavirus', 'MondayBlog', 'fear', 'God', 'angels']"
11, _json={'created_at': 'Mon Mar 09 15:22:26 +0000 2020', 'id': 1237036025098260482,"['text', 'RT', 'Dreaded', 'Tales', 'A', 'Short', 'Horror', 'Story', 'Collection', 'n', 'paranormal', 'psychological', 'fear', 'n', 'slasher', 'zombies', 'supernatural', 'nRead', 'it']"
12, _json={'created_at': 'Mon Mar 09 15:21:57 +0000 2020', 'id': 1237035907146014722,"['text', 'RT', 'I', 'find', 'a', 'new', 'container', 'to', 'help', 'prevent', 'people', 'from', 'hoard', 'my', 'new', 'batch', 'of', 'hand', 'sanitizer', 'while', 'also', 'save', 'the', 'planet']"
13, _json={'created_at': 'Mon Mar 09 15:21:51 +0000 2020', 'id': 1237035880180662273,"['text', 'RT', 'Seeing', 'no', 'one', 'will', 'say', 'it', 'n', 'nI', 'will', 'n', 'nThe', 'coronavirus', 'be', 'a', 'man', 'make', 'fear', 'pandemic', 'spread', 'on', 'purpose', 'by', 'the', 'FakeNewsMedia']"
14, _json={'created_at': 'Mon Mar 09 15:20:44 +0000 2020', 'id': 1237035599028199425,"['text', 'RT', 'Let', 's', 'not', 'forget', 'that', 'three', 'months', 'ago', 'we', 'be', 'all', 'go', 'to', 'die', 'of', 'measles', 'n', 'n', 'fear']"
15, _json={'created_at': 'Mon Mar 09 15:19:41 +0000 2020', 'id': 1237035332912254979,"['text', 'RT', 'What', 'be', 'you', 'afraid', 'of', 'itiswritten', 'everyword', 'fear', 'phobia', 'trust', 'Psalms']"
16, _json={'created_at': 'Mon Mar 09 15:19:18 +0000 2020', 'id': 1237035237286252546,"['text', 'RT', 'Fear', 'be', 'the', 'single', 'biggest', 'thing', 'that', 'via']"
17, _json={'created_at': 'Mon Mar 09 15:19:16 +0000 2020', 'id': 1237035231384940546,"['How', 'to', 'get', 'over', 'your', 'fear', 'of', 'talk', 'to', 'people', 'about', 'your', 'business', 'n', 'n', 'fear']"
18, _json={'created_at': 'Mon Mar 09 15:19:10 +0000 2020', 'id': 1237035203245142016,"['text', 'RT', 'Fear', 'be', 'a', 'result', 'of', 'the', 'lie', 'we', 'tell', 'ourselves', 'Love', 'be', 'a', 'result', 'of', 'live', 'in', 'truth']"
19, _json={'created_at': 'Mon Mar 09 15:19:09 +0000 2020', 'id': 1237035202528018432,"['text', 'RT', 'COVIDー19', 'n', 'nThreats', 'amp', 'Risks', 'mismanage', 'Media', 'fee', 'the', 'frenzy', 'Amygdala', 's', 'Panic', 'amp', 'Fear', 'in', 'overload', 'Leadership', 'amp', 'Cris']"
20, _json={'created_at': 'Mon Mar 09 15:19:02 +0000 2020', 'id': 1237035171041488898,"['text', 'RT', 'Am', 'I', 'FEAR', 'MONGERING', 'As', 'The', 'Market', 'Collapses', 'BermasBrigade', 'Market', 'Fear']"
21, _json={'created_at': 'Mon Mar 09 15:18:56 +0000 2020', 'id': 1237035145409908738,"['Fear', 'be', 'the', 'single', 'biggest', 'thing', 'that', 'via']"
22, _json={'created_at': 'Mon Mar 09 15:17:41 +0000 2020', 'id': 1237034831835361281,"['Am', 'I', 'FEAR', 'MONGERING', 'As', 'The', 'Market', 'Collapses', 'BermasBrigade', 'Market', 'Fear']"
23, _json={'created_at': 'Mon Mar 09 15:17:30 +0000 2020', 'id': 1237034785362587652,"['text', 'RT', 'What', 'investors', 'especially', 'the', 'leverage', 'ones', 'need', 'during', 'an', 'immediate', 'fear', 'period', 'be', 'liquidity', 'n', 'nCash', 'nNot', 'Bitcoin', 'nNot', 'S']"
24, _json={'created_at': 'Mon Mar 09 15:15:05 +0000 2020', 'id': 1237034177612087297,"['text', 'RT', 'Fear', 'be', 'the', 'single', 'biggest', 'thing', 'that', 'hold', 'us', 'back', 'amp', 'be', 'an', 'essential', 'step', 'in', 'achieve', 'our', 'goals', 'nTo', 'move', 'past', 'your', 'fea']"
25, _json={'created_at': 'Mon Mar 09 15:14:50 +0000 2020', 'id': 1237034114127020033,"['text', 'RT', 'What', 'be', 'you', 'afraid', 'of', 'itiswritten', 'everyword', 'fear', 'phobia', 'trust', 'Psalms']"
26, _json={'created_at': 'Mon Mar 09 15:14:35 +0000 2020', 'id': 1237034050990284800,"['text', 'RT', 'StephaniePMcKea', 'Not', 'Worried', 'via', 'coronavirus', 'fear', 'God', 'SundayBlog']"
27, _json={'created_at': 'Mon Mar 09 15:14:00 +0000 2020', 'id': 1237033906387509253,"['text', 'RT', 'Sometimes', 'it', 's', 'hard', 'not', 'to', 'get', 'stress']"
28, _json={'created_at': 'Mon Mar 09 15:12:55 +0000 2020', 'id': 1237033634097434624,"['text', 'RT', 'Sometimes', 'it', 's', 'hard', 'not', 'to', 'get', 'stress']"
29, _json={'created_at': 'Mon Mar 09 15:12:15 +0000 2020', 'id': 1237033464790056960,"['text', 'RT', 'Sometimes', 'it', 's', 'hard', 'not', 'to', 'get', 'stress']"
30, _json={'created_at': 'Mon Mar 09 15:12:06 +0000 2020', 'id': 1237033428513509378,"['text', 'RT', 'Dreaded', 'Tales', 'A', 'Short', 'Horror', 'Story', 'Collection', 'n', 'paranormal', 'psychological', 'fear', 'n', 'slasher', 'zombies', 'u200d', 'u200d', 'superna']"
31, _json={'created_at': 'Mon Mar 09 15:11:44 +0000 2020', 'id': 1237033333328142338,"['The', 'coronavirus', 'saga', 'be', 'a', 'vivid', 'illustration', 'of', 'the', 'immense', 'power', 'of', 'fear', 'as', 'a', 'societal', 'and', 'historical', 'engine']"
32, _json={'created_at': 'Mon Mar 09 15:11:42 +0000 2020', 'id': 1237033324171931651,"['Let', 's', 'expose', 'women', 'to', 'COVID19', 'in', 'the', 'name', 'of', 'Feminism', 'and', 'Populism', 'instead', 'of', 'protect', 'them', 'and', 'their', 'right']"
33, _json={'created_at': 'Mon Mar 09 15:11:18 +0000 2020', 'id': 1237033226889289729,"['text', 'RT', '𝐅', '𝐄', '𝐀', '𝐑', 'n__', 'n', 'nIf', 'you', 'don', 't', 'like', 'something']"
34, _json={'created_at': 'Mon Mar 09 15:09:32 +0000 2020', 'id': 1237032780736987136,"['text', 'RT', 'Dreaded', 'Tales', 'A', 'Short', 'Horror', 'Story', 'Collection', 'n', 'paranormal', 'psychological', 'fear', 'n', 'slasher', 'zombies', 'u200d', 'u200d', 'superna']"
35, _json={'created_at': 'Mon Mar 09 15:08:44 +0000 2020', 'id': 1237032577745195009,"['Amen', 'Dr', 'Drew', 'The', 'media', 'be', 'create', 'panic', 'amp', 'Fear', 'by', 'distortion', 'amp', 'over', 'report', 'of', 'coronavirus', 'Is', 'anyone', 'bei']"
36, _json={'created_at': 'Mon Mar 09 15:08:04 +0000 2020', 'id': 1237032413240360962,"['text', 'RT', 'NIGHT', 'OF', 'THE', 'CONSMERS', 'nA', 'retail', 'employee', 's', 'nightmare', 'in', 'simulation', 'form', 'n', 'n', 'scary']"
37, _json={'created_at': 'Mon Mar 09 15:07:30 +0000 2020', 'id': 1237032268402774016,"['text', 'RT', 'Dreaded', 'Tales', 'A', 'Short', 'Horror', 'Story', 'Collection', 'n', 'paranormal', 'psychological', 'fear', 'n', 'slasher', 'zombies', 'u200d', 'u200d', 'superna']"
38, _json={'created_at': 'Mon Mar 09 15:07:17 +0000 2020', 'id': 1237032214958915584,"['We', 'never', 'want', 'anyone', 'to', 'get', 'sick', 'however']"
39, _json={'created_at': 'Mon Mar 09 15:06:35 +0000 2020', 'id': 1237032037468344321,"['text', 'RT', 'God', 's', 'plan', 'for', 'you', 'do', 'not', 'include', 'fear']"
40, _json={'created_at': 'Mon Mar 09 15:06:18 +0000 2020', 'id': 1237031965091659776,"['We', 'someone', 'w', 'passion', 'They', 're', 'confident', 'amp', 'try', 'their', 'hardest', 'Why', 'do', 'we', 'use', 'fear', 'to', 'punish', 'what', 'be', 'differ']"
41, _json={'created_at': 'Mon Mar 09 15:05:38 +0000 2020', 'id': 1237031798317744131,"['text', 'RT', 'Fear', 'FearlessGirl', 'n', 'nMonday']"
42, _json={'created_at': 'Mon Mar 09 15:05:34 +0000 2020', 'id': 1237031782505050112,"['Get', 'in', 'there', 'an', 'sell', 'Mortimer', 'n', 'StockMarket', 'fear', 'fear', 'suckers', 'MotivationMonday']"
43, _json={'created_at': 'Mon Mar 09 15:04:24 +0000 2020', 'id': 1237031487473463297,"['Fear', 'be', 'spread', 'faster', 'than', 'coronavirus', 'and', 'that', 's', 'the', 'unfortunate', 'truth', 'across', 'the', 'globe', 'Would', 'hurt', 'global', 'ec']"
44, _json={'created_at': 'Mon Mar 09 15:02:25 +0000 2020', 'id': 1237030989341261829,"['text', 'RT', 'Seeing', 'no', 'one', 'will', 'say', 'it', 'n', 'nI', 'will', 'n', 'nThe', 'coronavirus', 'be', 'a', 'man', 'make', 'fear', 'pandemic', 'spread', 'on', 'purpose', 'by', 'the', 'FakeNewsMedia']"
45, _json={'created_at': 'Mon Mar 09 15:01:29 +0000 2020', 'id': 1237030756330934275,"['text', 'RT', 'Dreaded', 'Tales', 'A', 'Short', 'Horror', 'Story', 'Collection', 'n', 'paranormal', 'psychological', 'fear', 'n', 'slasher', 'zombies', 'u200d', 'u200d', 'superna']"
46, _json={'created_at': 'Mon Mar 09 15:00:45 +0000 2020', 'id': 1237030570640588800,"['If', 'we', 're', 'ever', 'to', 'be', 'free', 'then', 'we', 'must', 'learn', 'to', 'LIVE', 'THE', 'TRUTH', 'we', 'know', 'For', 'instance']"
47, _json={'created_at': 'Mon Mar 09 14:58:57 +0000 2020', 'id': 1237030115202273281,"['text', 'RT', 'StephaniePMcKea', 'Not', 'Worried', 'via', 'coronavirus', 'MondayBlog', 'fear', 'God', 'angels']"
48, _json={'created_at': 'Mon Mar 09 14:56:43 +0000 2020', 'id': 1237029554444619777,"['There', 'wasn', 't', 'this', 'much', 'panic', 'when', 'WorldWarII', 'start', 'n', 'WorldNews']"
49, _json={'created_at': 'Mon Mar 09 14:55:44 +0000 2020', 'id': 1237029307697860608,"['text', 'RT', 'Fear', 'be', 'the', 'single', 'biggest', 'thing', 'that', 'hold', 'us', 'back', 'amp', 'be', 'an', 'essential', 'step', 'in', 'achieve', 'our', 'goals', 'nTo', 'move', 'past', 'your', 'fea']"
50, _json={'created_at': 'Mon Mar 09 14:54:30 +0000 2020', 'id': 1237028998120693761,"['I', 'find', 'a', 'new', 'container', 'to', 'help', 'prevent', 'people', 'from', 'hoard', 'my', 'new', 'batch', 'of', 'hand', 'sanitizer', 'while', 'also', 'save', 'the', 'p']"
51, _json={'created_at': 'Mon Mar 09 14:53:40 +0000 2020', 'id': 1237028787054718978,"['text', 'RT', 'StephaniePMcKea', 'Not', 'Worried', 'via', 'coronavirus', 'MondayBlog', 'fear', 'God', 'angels']"
52, _json={'created_at': 'Mon Mar 09 14:51:33 +0000 2020', 'id': 1237028254885781507,"['text', 'RT', '16', 'more', 'reason', 'to', 'vote', 'for', 'JoeBiden', 'or', 'BernieSanders', 'n', 'oh']"
53, _json={'created_at': 'Mon Mar 09 14:51:18 +0000 2020', 'id': 1237028191593795585,"['How', 'to', 'get', 'over', 'fear', 'of', 'talk', 'to', 'people', 'in', 'network', 'market', 'n', 'nCheck', 'out', 'the', 'video', 'here', 'mlm']"
