,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 12:37:18 +0000 2020', 'id': 1236994467745484803,"['text', 'rt', 'aamvidder', 'asim', 'umar', 'love', 'man', 'oofnnasimdebut', 'httpstco27sqxlbvhr']"
1, _json={'created_at': 'Mon Mar 09 12:37:18 +0000 2020', 'id': 1236994467707543552,"['text', 'rt', 'henrywhite', 'flower', 'nncan', 'understand', 'world', 'people', 'love', 'haha', 'nna', 'little', 'bit', 'crazy']"
2, _json={'created_at': 'Mon Mar 09 12:37:18 +0000 2020', 'id': 1236994467690921984,"['text', 'share', 'love', 'httpstcoozj86zif43']"
3, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994467338608640,"['text', 'rt', 'fragileglass', 'lost', 'track', 'day', 'catch', 'refreshing', 'ruby', 'programming', 'skill', 'forgot', 'nice']"
4, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994467296493572,"['text', 'rt', 'alldayleeds', 'support', 'club', 'hasnnblackburn', 'away', 'u200d', 'n', '40', 'ticket', 'u200d', 'n7700', 'allocation', 'nsold', 'hour', 'nfrid']"
5, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994467279679493,"['text', 'thehill', 'love', 'trump', 'take', 'day', 'deserve']"
6, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994467229585409,"['text', 'rt', 'mochibhyunee', 'really', 'love', 'two', 'baby', 'im', 'gonna', 'make', 'thread', 'nnbaekhyun', 'baby', 'wowon', 'threadnnbhundred']"
7, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994467070185472,"['text', 'hey']"
8, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466998816768,"['text', 'rt', 'straittejas', 'moon', 'full', 'nand', 'soul', 'silent', 'nthe', 'heart', 'began', 'stirnwith', 'peace', 'love']"
9, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466935947264,"['text', 'love', 'song', 'go', 'hard', 'love', 'song']"
10, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466805944320,"['text', 'rt', 'tyeraa', 'love', 'sleeping', 'naked']"
11, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466755551238,"['text', 'chari', 'day', 'dearly', 'beloved', 'much', 'love', 'httpstconq9y8tmmp3']"
12, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466743025669,"['text', 'taysmithent', 'creativity', 'best', 'get', 'donenmultitalented', 'triple', 'threat', 'love', 'sing', 'well']"
13, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466680123392,"['text', 'msizzle98', 'street', 'love', 'special', 'way']"
14, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466600366081,"['text', 'goodmorning', 'self']"
15, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466126401536,"['text', 'stayed', 'till', '3am', 'cause', 'tired', 'woke', '715am', 'thinking', 'son', 'go', 'school', 'httpstcourngvgredq']"
16, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994466109624321,"['text', 'lfnand', 'love', 'quality', 'journalism', 'necking']"
17, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465753108480,"['text', 'rt', 'queenphire', 'call', 'lame', 'love', 'home', 'amp', 'way']"
18, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465740369920,"['text', 'rt', 'realdonaldtrump', 'trump', 'outmastered', 'deep', 'state', 'light', 'year', 'ahead', 'u', 'msdnc', 'disagree', 'long', 'way', 'go']"
19, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465669079040,"['text', 'taught', 'many', 'thingsnnwith']"
20, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465488867328,"['text', 'robertiger', 'true', 'love', 'sir', 'wish', 'stay', 'ceo', 'disney', 'forever', 'httpstcof3mx9l6vug']"
21, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465467756544,"['text', 'craytusjones', 'interacts']"
22, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465392254976,"['text', 'pls', 'want', 'love', 'affection', 'httpstcolrthxivj5i']"
23, _json={'created_at': 'Mon Mar 09 12:37:17 +0000 2020', 'id': 1236994465299959809,"['text', 'rt', 'truehindu', 'holi2020', 'festival', 'victory', 'love', 'egonnthis', 'holi']"
