,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 12:47:34 +0000 2020', 'id': 1236997052917338112,"['text', 'happy', 'international', 'woman', 'day', 'nquote', 'quote', 'quotesoftheday', 'quoteoftheday', 'positive', 'instagood', 'positivevibes', 'httpstcov4byt4rlea']"
1, _json={'created_at': 'Mon Mar 09 12:45:52 +0000 2020', 'id': 1236996627182882816,"['text', 'happy', 'international', 'woman', 'day', 'nquote', 'quote', 'quotesoftheday', 'quoteoftheday', 'positive', 'instagood', 'positivevibes', 'httpstcohgjqo4ccp3']"
2, _json={'created_at': 'Mon Mar 09 12:45:17 +0000 2020', 'id': 1236996479279149059,"['text', 'quote', 'gt', 'httpstcoivgonpvqronnseeneasy', 'motivational', 'motivate', 'inspirational', 'inspire', 'quote', 'httpstcon48dbqhvmp']"
3, _json={'created_at': 'Mon Mar 09 12:43:19 +0000 2020', 'id': 1236995985101828099,"['text', 'rt', 'chidambara09', 'missouri', 'coronavirus', 'father', 'woman', 'tested', 'positive', 'violated', 'selfquarantine', 'take', 'another', 'daughter']"
4, _json={'created_at': 'Mon Mar 09 12:43:17 +0000 2020', 'id': 1236995973735485440,"['text', 'happy', 'international', 'woman', 'day', 'nquote', 'quote', 'quotesoftheday', 'quoteoftheday', 'positive', 'instagood', 'womansday', 'httpstcow9wmygzsgx']"
5, _json={'created_at': 'Mon Mar 09 12:42:53 +0000 2020', 'id': 1236995873109708800,"['text', 'rt', 'chidambara09', 'missouri', 'coronavirus', 'father', 'woman', 'tested', 'positive', 'violated', 'selfquarantine', 'take', 'another', 'daughter']"
6, _json={'created_at': 'Mon Mar 09 12:42:43 +0000 2020', 'id': 1236995833045733376,"['text', 'missouri', 'coronavirus', 'father', 'woman', 'tested', 'positive', 'violated', 'selfquarantine', 'take', 'another', 'daughter', 'httpstcoxqknlg3l12']"
7, _json={'created_at': 'Mon Mar 09 12:39:58 +0000 2020', 'id': 1236995142462197760,"['text', 'rt', 'dlhampton', 'brain', 'wired', 'notice', 'negative', 'choose', 'work', 'thought', 'way', 'support', 'help']"
8, _json={'created_at': 'Mon Mar 09 12:38:31 +0000 2020', 'id': 1236994777142497282,"['text', 'rt', 'positiveprayers', 'prayer', 'powerfulnpositive', 'prayer', 'httpstcozah7yiluwd', 'httpstcorpfjr8a2ip']"
9, _json={'created_at': 'Mon Mar 09 12:37:36 +0000 2020', 'id': 1236994546732425217,"['text', 'reiki', 'healing', 'mother', 'earth', 'initiativenhttpstco0zpfofbabknnhealing', 'divine', 'positive', 'spiritual', 'httpstcov8lltiossp']"
10, _json={'created_at': 'Mon Mar 09 12:36:47 +0000 2020', 'id': 1236994339743686658,"['text', 'rt', 'godsharlygrl', 'life', 'good', 'mindsetnnwhats', 'mindset', 'todaynnsuccess', 'come', 'happy', 'positive', 'mindsetnnsucessn']"
11, _json={'created_at': 'Mon Mar 09 12:36:37 +0000 2020', 'id': 1236994297376804865,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
12, _json={'created_at': 'Mon Mar 09 12:34:05 +0000 2020', 'id': 1236993659486130178,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
13, _json={'created_at': 'Mon Mar 09 12:34:04 +0000 2020', 'id': 1236993656378310656,"['text', 'rt', 'semproblema2', '1', 'affirmation', 'website', 'boost', 'positivity', 'confidence', 'success', 'half', 'knowing', 'half', 'httpstcon9u']"
14, _json={'created_at': 'Mon Mar 09 12:34:03 +0000 2020', 'id': 1236993651403825154,"['text', 'rt', 'nicedomainhq', 'sometimes', 'need', 'live', 'everyday', 'extraordinary', 'followback', 'win', 'thankful', 'positive', 'httpstcogsne3cenph']"
15, _json={'created_at': 'Mon Mar 09 12:34:00 +0000 2020', 'id': 1236993638510387200,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
16, _json={'created_at': 'Mon Mar 09 12:33:51 +0000 2020', 'id': 1236993599708917760,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
17, _json={'created_at': 'Mon Mar 09 12:33:37 +0000 2020', 'id': 1236993541089394689,"['text', 'rt', 'semproblema2', '1', 'affirmation', 'website', 'boost', 'positivity', 'confidence', 'success', 'half', 'knowing', 'half', 'httpstcon9u']"
18, _json={'created_at': 'Mon Mar 09 12:33:25 +0000 2020', 'id': 1236993492305485824,"['text', 'rt', 'semproblema2', '1', 'affirmation', 'website', 'boost', 'positivity', 'confidence', 'success', 'half', 'knowing', 'half', 'httpstcon9u']"
19, _json={'created_at': 'Mon Mar 09 12:33:03 +0000 2020', 'id': 1236993400328654853,"['text', 'rt', 'semproblema2', '1', 'affirmation', 'website', 'boost', 'positivity', 'confidence', 'success', 'half', 'knowing', 'half', 'httpstcon9u']"
20, _json={'created_at': 'Mon Mar 09 12:32:54 +0000 2020', 'id': 1236993363598905345,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
21, _json={'created_at': 'Mon Mar 09 12:32:38 +0000 2020', 'id': 1236993294707589123,"['text', 'rt', 'semproblema2', '1', 'affirmation', 'website', 'boost', 'positivity', 'confidence', 'success', 'half', 'knowing', 'half', 'httpstcon9u']"
22, _json={'created_at': 'Mon Mar 09 12:32:31 +0000 2020', 'id': 1236993266664366081,"['text', 'rt', 'piscesareus', 'p', 'c', 'e', 'l', 'f', 'e', 'nteampisces', 'piscesareus', 'nthepiscesareus', 'repostandlikenzodiac', 'pisces', 'explore', 'astrology']"
