,Created_at,Tweet id,Text
0, _json={'created_at': 'Mon Mar 09 14:58:37 +0000 2020', 'id': 1237030033941835777,"['text', 'depressing', 'excuse', 'heard', 'far', 'preemptively', 'closing', 'school', 'coronavirusnn1', 'many', 'hom', 'httpstcobzhe7udis1']"
1, _json={'created_at': 'Mon Mar 09 14:57:10 +0000 2020', 'id': 1237029668068282376,"['text', 'chrismurphyct', 'wrong', 'care', 'prez', 'golf', 'much', 'cost', 'present', 'bonk', 'httpstco5zrmcfk7ia']"
2, _json={'created_at': 'Mon Mar 09 14:55:36 +0000 2020', 'id': 1237029273120182272,"['text', 'rt', 'coccojanelle', 'taralsamples', 'socialist', 'scare', 'tactic', 'never', 'made', 'sense', 'begin', 'push', 'narrative', 'keep', 'peopl']"
3, _json={'created_at': 'Mon Mar 09 14:54:22 +0000 2020', 'id': 1237028963148595207,"['text', 'completely', 'lost', 'trump', 'twitter', 'rampage', 'spark', 'alarm', 'coronavirus', 'tank', 'economy', 'httpstcotxr8muvxta']"
4, _json={'created_at': 'Mon Mar 09 14:54:04 +0000 2020', 'id': 1237028887093301248,"['text', 'never', 'recover', 'health', 'insurance', 'price', 'nthey', 'affordable', 'promised', 'ni', 'dont', 'think', 'candida', 'httpstco3da1mmqogw']"
5, _json={'created_at': 'Mon Mar 09 14:52:15 +0000 2020', 'id': 1237028431361171458,"['text', 'realdonaldtrump', 'put', 'saudi', 'arabia', 'travel', 'ban', 'list', 'forget', '911', '9', '15', 'scumbags', 'came', 'f', 'httpstcovlevoihdqg']"
6, _json={'created_at': 'Mon Mar 09 14:49:59 +0000 2020', 'id': 1237027861694951424,"['text', 'rt', 'havenlust', 'march', '2017', 'nni', 'informed', 'beautiful', 'azure', 'window', 'tieqa', 'taddwejra', 'gozo', 'collapsed', 'malta']"
7, _json={'created_at': 'Mon Mar 09 14:48:44 +0000 2020', 'id': 1237027544135802881,"['text', 'realdonaldtrump', 'sothats', 'youre', 'going', 'explain', 'stock', 'collapse', 'figuresfind', 'someone', 'blameconti', 'httpstcojul7zedkqa']"
8, _json={'created_at': 'Mon Mar 09 14:48:38 +0000 2020', 'id': 1237027521432039425,"['text', 'taralsamples', 'socialist', 'scare', 'tactic', 'never', 'made', 'sense', 'begin', 'push', 'narrative', 'keep', 'httpstcombsmymizn2']"
9, _json={'created_at': 'Mon Mar 09 14:48:07 +0000 2020', 'id': 1237027390607388673,"['text', 'kamalaharris', 'economic', 'injustice', 'stand', 'status', 'quo', 'bidens', 'plan', 'distupt', 'wealth', 'grab', 'redistribute', 'sad']"
10, _json={'created_at': 'Mon Mar 09 14:01:11 +0000 2020', 'id': 1237015579657228295,"['text', 'feel', 'heart', 'desire', 'get', 'others', 'able', 'write', 'life']"
11, _json={'created_at': 'Mon Mar 09 13:45:17 +0000 2020', 'id': 1237011576567234560,"['text', 'cat', 'zero', 'respect', 'boyfriend', 'leaf', 'home', 'cat', 'fucking', 'dancing', 'walking', 'table', 'eating', 'httpstco199e6bryap']"
12, _json={'created_at': 'Mon Mar 09 13:35:54 +0000 2020', 'id': 1237009219028647938,"['text', 'bbt', 'banking', 'difficult', 'needed', 'update', 'address', 'check']"
13, _json={'created_at': 'Mon Mar 09 12:48:00 +0000 2020', 'id': 1236997163109867523,"['text', 'worry', 'wash', 'hand', 'uk', 'govt', 'nothing', 'else', 'end', 'quickly', 'pole', 'httpstcomqnxoua0lq']"
14, _json={'created_at': 'Mon Mar 09 12:37:05 +0000 2020', 'id': 1236994416797274112,"['text', 'stubborn', 'helped', 'much', 'thing', 'believe', 'get', 'use', 'important', 'httpstcoub2pblfymu']"
15, _json={'created_at': 'Mon Mar 09 12:14:54 +0000 2020', 'id': 1236988832152600576,"['text', 'hertz', 'plan', 'allow', 'rental', 'change', 'itinerary', 'due', 'covid', 'cant', 'go', 'visit', 'elderly', 'parent', 'due', 'vi', 'httpstcozeb2scrzhe']"
16, _json={'created_at': 'Mon Mar 09 11:36:48 +0000 2020', 'id': 1236979243931721728,"['text', 'uidai', 'really', 'frustrated', 'service', 'almost', '3', 'month', 'trying', 'update', 'address', 'throu', 'httpstcoxi3v95u5lv']"
17, _json={'created_at': 'Mon Mar 09 10:58:20 +0000 2020', 'id': 1236969563557953536,"['text', 'happens', 'often', 'frustrating', 'breadandbutter', 'bread', 'butter', 'bertolli', 'countrylife', 'anchor', 'httpstco7smzsyks17']"
18, _json={'created_at': 'Mon Mar 09 10:54:32 +0000 2020', 'id': 1236968608950931457,"['text', 'tatasky', 'barely', 'work', 'done', 'heck', 'technician', 'told', 'multiple', 'time', 'issue', 'har', 'httpstcojcivvmx0ct']"
19, _json={'created_at': 'Mon Mar 09 14:59:07 +0000 2020', 'id': 1237030157334065152,"['text', 'may', 'happy', 'time', 'end', 'every', 'single', 'day']"
20, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030156868489218,"['text', 'gotta', 'unstan', 'dababy', 'issa', 'sad', 'day']"
21, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030155647926275,"['text', 'rt', 'jordanrowes', 'woman', 'sad', 'stomach', '5mins', 'later']"
22, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030155488559110,"['text', 'samuelstocker4', 'jackposobiec', 'dineshdsouza', 'really', 'sad', 'ppl', 'gone', 'far', 'destroy', 'nation']"
23, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030154746105861,"['text', 'rt', 'ernieplumley', '2the', 'driver', 'vehicle']"
24, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030154360193024,"['text', 'rt', 'jasonhowerton', 'actually', 'make', 'sad', 'people', 'root', 'country', 'fail', 'dont', 'like', 'guy', 'white', 'house']"
25, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030154041462784,"['text', 'jhaysn1', 'almost', 'done', 'editing', 'nni', 'sad', 'well', 'ni', 'sorry']"
26, _json={'created_at': 'Mon Mar 09 14:59:06 +0000 2020', 'id': 1237030153152344064,"['text', 'rt', 'tivolivenue', 'next', 'weekend', 'looking', 'extremely', 'sad', 'hrh', 'postponing', 'tivoli', 'venue', 'going', '3', 'gig', '0', 'due', 'cvir']"
27, _json={'created_at': 'Mon Mar 09 14:59:05 +0000 2020', 'id': 1237030152804188160,"['text', 'apt78', 'hard', 'digest', 'kanye', 'time', 'ability', 'get', 'point', 'across', 'sad']"
28, _json={'created_at': 'Mon Mar 09 15:01:40 +0000 2020', 'id': 1237030801113579520,"['text', 'rt', 'beautybytamib', 'makeup', 'still', 'look', 'like', 'shit']"
29, _json={'created_at': 'Mon Mar 09 15:01:40 +0000 2020', 'id': 1237030800794804224,"['text', 'rt', 'finallyabdi', 'sad', 'httpstcokwdfcv4hee']"
30, _json={'created_at': 'Mon Mar 09 15:01:40 +0000 2020', 'id': 1237030800601874434,"['text', 'rt', 'beautybytamib', 'makeup', 'still', 'look', 'like', 'shit']"
31, _json={'created_at': 'Mon Mar 09 15:01:40 +0000 2020', 'id': 1237030800287285248,"['text', 'rt', 'johnnaaaaa', 'whole', 'time', 'sad', 'losing', 'friendship', 'like', 'mf', 'sad', 'losing', 'friendship', 'intention', 'always', 'pu']"
32, _json={'created_at': 'Mon Mar 09 15:01:40 +0000 2020', 'id': 1237030799603462145,"['text', 'rt', 'sonexstella', 'trans', 'hello', 'sm', 'entertainmentnnon', '9th']"
33, _json={'created_at': 'Mon Mar 09 15:01:39 +0000 2020', 'id': 1237030798051749889,"['text', 'rt', 'douglas1bikes', 'realdonaldtrump', 'trumppence', 'administration', 'dumbsaduntruthfulchildishimmatureself', 'servingfoolishd']"
34, _json={'created_at': 'Mon Mar 09 15:01:39 +0000 2020', 'id': 1237030797141368833,"['text', 'rt', 'imaqishh', 'hate', 'sad', 'help']"
35, _json={'created_at': 'Mon Mar 09 15:01:39 +0000 2020', 'id': 1237030797103763458,"['text', 'rt', 'realdefender', 'realdonaldtrump', 'fake', 'news', 'medium', 'attempting', 'put', 'people', 'state', 'panic', 'hurt', 'economy']"
36, _json={'created_at': 'Mon Mar 09 15:01:39 +0000 2020', 'id': 1237030796373954561,"['text', 'rt', 'realdefender', 'realdonaldtrump', 'fake', 'news', 'medium', 'attempting', 'put', 'people', 'state', 'panic', 'hurt', 'economy']"
37, _json={'created_at': 'Mon Mar 09 15:00:50 +0000 2020', 'id': 1237030590127300609,"['text', 'trading', 'resume', 'stock', 'plungenntrump', 'nmaga', 'well', 'sad', 'trumpvirusnbiden2020nhttpstcorlu4nijurw']"
38, _json={'created_at': 'Mon Mar 09 15:00:23 +0000 2020', 'id': 1237030479192182784,"['text', 'rt', 'emel0371', 'like', 'afternoon', 'nnsad', 'nmood', 'ncutesnneleroluyor', 'httpstcojneq79znjq']"
39, _json={'created_at': 'Mon Mar 09 15:00:21 +0000 2020', 'id': 1237030467414700032,"['text', 'rt', 'coccojanelle', 'taralsamples', 'socialist', 'scare', 'tactic', 'never', 'made', 'sense', 'begin', 'push', 'narrative', 'keep', 'peopl']"
40, _json={'created_at': 'Mon Mar 09 14:59:28 +0000 2020', 'id': 1237030247213813766,"['text', 'amarinder', 'taking', 'shelter', 'behind', 'technicality']"
41, _json={'created_at': 'Mon Mar 09 14:58:37 +0000 2020', 'id': 1237030033941835777,"['text', 'depressing', 'excuse', 'heard', 'far', 'preemptively', 'closing', 'school', 'coronavirusnn1', 'many', 'hom', 'httpstcobzhe7udis1']"
42, _json={'created_at': 'Mon Mar 09 14:57:10 +0000 2020', 'id': 1237029668068282376,"['text', 'chrismurphyct', 'wrong', 'care', 'prez', 'golf', 'much', 'cost', 'present', 'bonk', 'httpstco5zrmcfk7ia']"
43, _json={'created_at': 'Mon Mar 09 14:55:36 +0000 2020', 'id': 1237029273120182272,"['text', 'rt', 'coccojanelle', 'taralsamples', 'socialist', 'scare', 'tactic', 'never', 'made', 'sense', 'begin', 'push', 'narrative', 'keep', 'peopl']"
44, _json={'created_at': 'Mon Mar 09 14:54:22 +0000 2020', 'id': 1237028963148595207,"['text', 'completely', 'lost', 'trump', 'twitter', 'rampage', 'spark', 'alarm', 'coronavirus', 'tank', 'economy', 'httpstcotxr8muvxta']"
45, _json={'created_at': 'Mon Mar 09 14:54:04 +0000 2020', 'id': 1237028887093301248,"['text', 'never', 'recover', 'health', 'insurance', 'price', 'nthey', 'affordable', 'promised', 'ni', 'dont', 'think', 'candida', 'httpstco3da1mmqogw']"
46, _json={'created_at': 'Mon Mar 09 15:01:52 +0000 2020', 'id': 1237030852967751681,"['text', 'rt', 'gbrew24', 'move', 'response', 'year', 'frustration', 'opecrussia', 'cut']"
47, _json={'created_at': 'Mon Mar 09 15:01:50 +0000 2020', 'id': 1237030842217762817,"['text', 'rt', 'abdbozkurt', 'russia', 'tv', 'run', 'footage', 'showing', 'putin', 'made', 'turkey', 'president', 'erdogan', 'wait', 'frustration', 'kremlin', 'greeting']"
48, _json={'created_at': 'Mon Mar 09 15:01:35 +0000 2020', 'id': 1237030781933019142,"['text', 'rt', 'virgogoddess915', 'heal', 'ever', 'give', 'sarcastic', 'tone', 'uplifting', 'message', 'heal', 'never', 'make', 'anyone']"
49, _json={'created_at': 'Mon Mar 09 15:01:31 +0000 2020', 'id': 1237030761946963968,"['text', 'rt', 'billkristol', 'white', 'house', 'official', 'arefrustrated', 'attrumps', 'consistent', 'bid', 'downplay', 'severity', 'outbreakna', 'crazy', 'id']"
50, _json={'created_at': 'Mon Mar 09 15:01:30 +0000 2020', 'id': 1237030758742622208,"['text', 'rt', 'billkristol', 'white', 'house', 'official', 'arefrustrated', 'attrumps', 'consistent', 'bid', 'downplay', 'severity', 'outbreakna', 'crazy', 'id']"
51, _json={'created_at': 'Mon Mar 09 15:01:23 +0000 2020', 'id': 1237030729252589568,"['text', 'rt', 'gbrew24', 'move', 'response', 'year', 'frustration', 'opecrussia', 'cut']"
52, _json={'created_at': 'Mon Mar 09 15:01:19 +0000 2020', 'id': 1237030710906667008,"['text', 'parisdennard', 'donnabrazile', 'gopchairwoman', 'realdonaldtrump', 'watching', 'sound', 'awesome', 'anger', 'f', 'httpstcothebtz9jll']"
53, _json={'created_at': 'Mon Mar 09 15:01:18 +0000 2020', 'id': 1237030710273126406,"['text', 'rt', 'kiwimemer', 'r', 'ppl', 'try', 'befriend', 'artist', 'become', 'frustrated', 'dont', 'get', 'free', 'art', 'true', 'frustration', 'frie']"
54, _json={'created_at': 'Mon Mar 09 15:02:41 +0000 2020', 'id': 1237031056571760641,"['text', 'rt', 'kiwimemer', 'r', 'ppl', 'try', 'befriend', 'artist', 'become', 'frustrated', 'dont', 'get', 'free', 'art', 'true', 'frustration', 'frie']"
55, _json={'created_at': 'Mon Mar 09 15:02:40 +0000 2020', 'id': 1237031050733387776,"['text', 'rt', 'billkristol', 'white', 'house', 'official', 'arefrustrated', 'attrumps', 'consistent', 'bid', 'downplay', 'severity', 'outbreakna', 'crazy', 'id']"
56, _json={'created_at': 'Mon Mar 09 15:02:36 +0000 2020', 'id': 1237031035910721538,"['text', 'rt', 'armaniiii6', 'age', '15']"
57, _json={'created_at': 'Mon Mar 09 15:02:36 +0000 2020', 'id': 1237031035373846528,"['text', 'rt', 'collinsterol', 'declare', 'ive', 'joy', 'always']"
58, _json={'created_at': 'Mon Mar 09 15:02:34 +0000 2020', 'id': 1237031025726767106,"['text', 'frustration', 'inside', 'white', 'house', 'mixed', 'coronavirus', 'messaging', 'nbc', 'news', 'xxx', 'thats', 'happens', 'lie', 'httpstcoi9bylazvjk']"
59, _json={'created_at': 'Mon Mar 09 15:02:33 +0000 2020', 'id': 1237031025118568448,"['text', 'rt', 'billkristol', 'white', 'house', 'official', 'arefrustrated', 'attrumps', 'consistent', 'bid', 'downplay', 'severity', 'outbreakna', 'crazy', 'id']"
60, _json={'created_at': 'Mon Mar 09 15:02:32 +0000 2020', 'id': 1237031019384987654,"['text', 'rt', 'thekhbri', 'loving', 'asim', 'trending', 'youtube', 'well', 'twitternnand', 'look', 'chuklians', 'insecurity', 'amp', 'frustration']"
61, _json={'created_at': 'Mon Mar 09 15:02:27 +0000 2020', 'id': 1237030997738156032,"['text', 'rt', 'mehekf', 'lashed', 'frustration', 'sale', 'guy', 'bank']"
62, _json={'created_at': 'Mon Mar 09 15:02:27 +0000 2020', 'id': 1237030996836528129,"['text', 'happy', 'motivationmonday', 'youre', 'business', 'owner']"
