Created_at,Tweet id,Text
 _json={'created_at': 'Mon Mar 09 15:06:35 +0000 2020', 'id': 1237032039754297344," 'text': ""RT @landaows: dAMN I want to stay angry at someone but when I see him/her have a hard time i'm all: 😤   😠   😞   😩   🥺🥺🥺🥺"""
 _json={'created_at': 'Mon Mar 09 15:06:35 +0000 2020', 'id': 1237032038903021569, 'text': 'RT @PreetBharara: I am angry and worried right now. As are tens of millions of Americans. I don’t know what will happen next but what I do…'
 _json={'created_at': 'Mon Mar 09 15:06:34 +0000 2020', 'id': 1237032035991973888, 'text': 'RT @realDonaldTrump: Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his c…'
 _json={'created_at': 'Mon Mar 09 15:06:33 +0000 2020', 'id': 1237032030820372481," 'text': ""RT @JAO20294848: @ryanbeckwith @LEBassett We're gonna have to wait for another Democratic president and another 8 years for it to recover..…"""
 _json={'created_at': 'Mon Mar 09 15:06:32 +0000 2020', 'id': 1237032025137262592, 'text': 'RT @realDonaldTrump: Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his c…'
 _json={'created_at': 'Mon Mar 09 15:06:31 +0000 2020', 'id': 1237032022771732480, 'text': 'RT @karterforreal: Being toxic isn’t some cute trend. Jhené spent hours studying the sounds of healing specifically for her supporters. You…'
 _json={'created_at': 'Mon Mar 09 15:06:31 +0000 2020', 'id': 1237032020837974016," 'text': ""@brdautremont @globalnews I don't get angry on social media at strangers"
 _json={'created_at': 'Mon Mar 09 15:06:30 +0000 2020', 'id': 1237032018128461831, 'text': 'RT @Mufaa6: Everyone been angry as shit lately what’s goin on 😂😂🤣🤣🤣https://t.co/NRujWS8EJh'
 _json={'created_at': 'Mon Mar 09 15:06:30 +0000 2020', 'id': 1237032015435665409, 'text': 'RT @SaketGokhale: What an incredibly d0uchey video. \n\nFirst of all
 _json={'created_at': 'Mon Mar 09 15:06:28 +0000 2020', 'id': 1237032010205593601, 'text': 'RT @ItsJacksonKE: Kenyans are Angry with BBI\nKenyans are Angry with Uhuru\nKenyans are Angry with Raila\nKenyans are Angry with Ruto\nKenyans…'
 _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032006510432257, 'text': 'Me: Smiles and jokes in a photo or video\n\nComments section: Pain why do you look so angry? Are you depressed? You need to cheer up.'
 _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032006015488004," 'text': 'He also told them they said he was ""pissed off and angry"" because she wouldn\'t have sex with him. He said he felt b… https://t.co/cuFt0iA9HF'"
 _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032005432250368, 'text': 'Angry reax angry'
 _json={'created_at': 'Mon Mar 09 15:06:27 +0000 2020', 'id': 1237032005176623106, 'text': 'angry uber drivers scare me'
 _json={'created_at': 'Mon Mar 09 15:06:26 +0000 2020', 'id': 1237031998671278085," 'text': 'Among great Max von Sydow film moments was his angry eating of a sandwich in ""Hannah &amp;Her Sisters."" And that great… https://t.co/7FEaD0J90s'"
 _json={'created_at': 'Mon Mar 09 15:06:26 +0000 2020', 'id': 1237031998478319618, 'text': 'RT @AnoopKgkg1515: @Swamy39 @Krishnabond81 General public who used to support BJP now walking away.. They r fed up with economy
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031998167736320, 'text': 'RT @realDonaldTrump: Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his c…'
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031998075686913, 'text': '@WorthlessAlexG @Cuckertt @RTSubBitch @rtsubbby @rtfindom @rtbaby77 @tonybobo3 Yes thats what I do anyway. Just sic… https://t.co/Rs3pG04ZP9'
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031997178089472," 'text': ""RT @AFCEMA: Everybody is talking about #COVID19 and it's all over social media and the news. You may feel anxious"
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031996745863170, 'text': 'RT @wrongtxtquote: taehyun: i know we don’t always see eye to eye but–\n\nhuening kai: that’s because you’re so short\n\ntaehyun: [smol angry n…'
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031996070780933, 'text': 'I love when things combine into new and unexpected combinations that make life more interesting.\n\nWho knew angry de… https://t.co/z1Ol2j3pWj'
 _json={'created_at': 'Mon Mar 09 15:06:25 +0000 2020', 'id': 1237031994527277058, 'text': 'RT @Mufaa6: Everyone been angry as shit lately what’s goin on 😂😂🤣🤣🤣https://t.co/NRujWS8EJh'
 _json={'created_at': 'Mon Mar 09 15:06:24 +0000 2020', 'id': 1237031991851139075, 'text': 'RT @HardDriveMag: Angry D&amp;D Player Throws Handful of Dice at DM for 8d6 Bludgeoning Damage\n\nhttps://t.co/nPSEKKaDfc'
 _json={'created_at': 'Mon Mar 09 15:06:23 +0000 2020', 'id': 1237031988135178240, 'text': 'RT @realDonaldTrump: Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his c…'
 _json={'created_at': 'Mon Mar 09 15:06:22 +0000 2020', 'id': 1237031984813101056, 'text': 'RT @awilkinson: Find it odd that people are getting angry at tech ppl for spreading the word about coronavirus. Even when relaying expert o…'
 _json={'created_at': 'Mon Mar 09 15:06:22 +0000 2020', 'id': 1237031983416369154, 'text': 'RT @realDonaldTrump: Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his c…'
