Created_at,Tweet id,Text
 _json={'created_at': 'Mon Mar 09 14:58:37 +0000 2020', 'id': 1237030033941835777, 'text': 'Most depressing excuses I’ve heard (so far) against preemptively closing schools for #coronavirus:\n\n1. Too many hom… https://t.co/bZHe7UdiS1'
 _json={'created_at': 'Mon Mar 09 14:57:10 +0000 2020', 'id': 1237029668068282376, 'text': '@ChrisMurphyCT It is WRONG that you don’t care that the prez golfs SO MUCH.  The cost of what this presents is bonk… https://t.co/5ZRMCFk7ia'
 _json={'created_at': 'Mon Mar 09 14:55:36 +0000 2020', 'id': 1237029273120182272, 'text': 'RT @coccojanelle: @TaraLSamples The socialist scare tactics never made any sense to begin with. They just push this narrative to keep peopl…'
 _json={'created_at': 'Mon Mar 09 14:54:22 +0000 2020', 'id': 1237028963148595207, 'text': '‘He’s completely lost it’: Trump’s ‘Twitter rampage’ sparks alarm as coronavirus tanks the economy -… https://t.co/txR8mUVXtA'
 _json={'created_at': 'Mon Mar 09 14:54:04 +0000 2020', 'id': 1237028887093301248," 'text': ""I will never recover from health insurance prices. \nThey are NOT affordable as promised. \nI don't think the candida… https://t.co/3dA1MmQOgW"""
 _json={'created_at': 'Mon Mar 09 14:52:15 +0000 2020', 'id': 1237028431361171458, 'text': '@realDonaldTrump Put Saudi Arabia on the travel ban list or do you forget about 9/11? 9 of those 15 scumbags came f… https://t.co/VLeVoIhdQg'
 _json={'created_at': 'Mon Mar 09 14:49:59 +0000 2020', 'id': 1237027861694951424, 'text': 'RT @Havenlust: March 2017 🌍🌎🌏\n\nI have just been informed that the beautiful Azure Window Tieqa tad-Dwejra in #Gozo has collapsed. #malta #s…'
 _json={'created_at': 'Mon Mar 09 14:48:44 +0000 2020', 'id': 1237027544135802881," 'text': ""@realDonaldTrump So...that's how you're* going to explain the stock collapse? Figures...find someone to blame/conti… https://t.co/juL7ZEDkqA"""
 _json={'created_at': 'Mon Mar 09 14:48:38 +0000 2020', 'id': 1237027521432039425, 'text': '@TaraLSamples The socialist scare tactics never made any sense to begin with. They just push this narrative to keep… https://t.co/mBSmYMizn2'
 _json={'created_at': 'Mon Mar 09 14:48:07 +0000 2020', 'id': 1237027390607388673," 'text': ""@KamalaHarris Economic injustice will stand under the status quo. Where is Biden's plan to distupt the wealth grab and redistribute? #sad"""
 _json={'created_at': 'Mon Mar 09 14:01:11 +0000 2020', 'id': 1237015579657228295," 'text': '""I feel in my heart a desire to get others to be able to write about their lives"
 _json={'created_at': 'Mon Mar 09 13:45:17 +0000 2020', 'id': 1237011576567234560, 'text': 'My Cat have zero respect for me. Boyfriend leaves home and cat is fucking dancing and walking on the table eating m… https://t.co/199E6BryaP'
 _json={'created_at': 'Mon Mar 09 13:35:54 +0000 2020', 'id': 1237009219028647938, 'text': '@BBT  why is banking with you so difficult? We needed to update an address on our checks
 _json={'created_at': 'Mon Mar 09 12:48:00 +0000 2020', 'id': 1236997163109867523, 'text': 'We will her more not to worry and wash your hands from uk govt nothing else. This can end quickly by having a pole… https://t.co/MqnXoUa0lq'
 _json={'created_at': 'Mon Mar 09 12:37:05 +0000 2020', 'id': 1236994416797274112, 'text': 'Am I being too stubborn? It’s helped so much but some things I believe you can get use to if it’s important to you… https://t.co/uB2PBlfymU'
 _json={'created_at': 'Mon Mar 09 12:14:54 +0000 2020', 'id': 1236988832152600576," 'text': ""@Hertz any plans to allow rental changes to itineraries due to covid? I can't go visit my elderly parents due to vi… https://t.co/zeB2SCrZHE"""
 _json={'created_at': 'Mon Mar 09 11:36:48 +0000 2020', 'id': 1236979243931721728, 'text': '@UIDAI Really #frustrated with the service! It’s been almost 3 months I have been trying to update my address throu… https://t.co/xI3V95U5lV'
 _json={'created_at': 'Mon Mar 09 10:58:20 +0000 2020', 'id': 1236969563557953536, 'text': 'Happens all too often and it’s very frustrating 👹 #breadandbutter #bread #butter #bertolli #countrylife #anchor… https://t.co/7smzSYKS17'
 _json={'created_at': 'Mon Mar 09 10:54:32 +0000 2020', 'id': 1236968608950931457, 'text': '@TataSky Barely any work done! Where the heck is your technician? I have told you multiple times the issue is a har… https://t.co/jCiVVmx0ct'
